hour,is_weekend,congestion_level,avg_current_speed,avg_free_flow_speed,avg_congestion_ratio,avg_temperature,avg_humidity,avg_aqi,avg_pm2_5,total_observations,city_name
9,0,Low,13.0,13.0,1.0,17.8,74.0,2.0,11.33,10,London
10,0,Low,13.0,13.0,1.0,17.4,75.0,2.0,11.33,5,London
23,0,Medium,8.0,12.5,0.641,27.94,41.0,2.0,11.08,2,London
9,0,Low,20.0,20.0,1.0,28.85,79.0,2.0,6.89,3,Mumbai
9,0,Medium,13.43,19.57,0.6859,28.85,79.0,2.0,6.89,7,Mumbai
10,0,Low,20.0,20.0,1.0,28.93,79.0,2.0,6.89,4,Mumbai
10,0,Medium,12.0,19.0,0.632,28.93,79.0,2.0,6.89,1,Mumbai
23,0,Low,20.0,20.0,1.0,27.96,83.0,2.0,6.53,1,Mumbai
23,0,Medium,15.0,20.0,0.75,27.96,83.0,2.0,6.53,1,Mumbai
9,0,Medium,20.0,26.0,0.769,21.65,62.0,2.0,6.79,3,New York
9,0,Low,27.0,27.0,1.0,21.65,62.0,2.0,6.79,7,New York
10,0,Low,27.0,27.0,1.0,21.41,64.0,2.0,6.79,5,New York
23,0,Low,27.0,27.0,1.0,27.76,42.0,3.0,2.63,2,New York
